id,genre,title,artist
82,classical,Intermezzo in E flat Major Opus 117 No.1 (Johannes Brahms),Ivan Ilic
96,classical,Sonata in G major - Allegro (Juliane Reichardt),Seth Carlin
69,classical,More Palatino (Jan Pieterszoon Sweelinck),JungHae Kim
41,classical,Sonata III in d minor (Allegro:Moderato),Ensemble Mirable
55,classical,Avanti Il Quarto Brando (Giovanni Battista Buonamente),Altri Stromenti
7,classical,Trio Sonata in D minor-1 Allegro (Telemann),Voices of Music
54,classical,Phenix - Allegro,Musica Franca
6,classical,Prelude and Fugue No 13 in F-sharp major,Daniel Ben Pienaar
40,classical,If I were wind I would tempest you,Bezdin Ensemble
68,classical,Alysoun,John Fleagle
97,classical,Liszt Variations On A Theme By Bach 'Weinen Klagen',Ivan Ilic
83,classical,Ma belle si ton ame (Gilles Durant de la Bergerie),Orinda
95,classical,Concerto No. 1 in G major Op. 26 for Organ - Allegro,Musica Franca
81,classical,Sonata IV in B-flat major - Bruit de chasse,Musica Franca
4,classical,Handel- Suite in Fa Major (Adagio),Ivan Ilic
56,classical,Les Delices de la Solitude Op. 20 - Sonata I in F major - Aria,Musica Franca
42,classical,Sonata 1 (Largo),Ensemble Mirable
43,classical,Rosenmuller Sonata Teraz a 2 Allegro,Ensemble Vermillian
5,classical,Intermezzo in B flat Minor Opus 117 No.2 (Johannes Brahms),Ivan Ilic
57,classical,Magnificat (Antonio Vivaldi),Bezdin Ensemble
80,classical,Phenix - Allegro,Musica Franca
94,classical,La Maltese (Mauritio Cazzati),Altri Stromenti
90,classical,WF Bach: Concerto in F Major for 2 Harpsichords (Allegro moderato),Phebe Craig and Katherine Westine
84,classical,Toccata XX,Paul Beier
53,classical,If I were pope,Bezdin Ensemble
1,classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music
47,classical,Drei Romanzen Op. 94 (Nicht schnell),Gonzalo X Ruiz
46,classical,Sonata in C major for oboe and basso continuo after BWV 1035 (adagio ma non tanto),Gonzalo X Ruiz
52,classical,La Ritirata Di Madrid (Luigi Boccherini),Bezdin Ensemble
85,classical,Aria Nona (Marco Uccellini),Altri Stromenti
91,classical,Prelude: Suite In G Minor: Le Cinquieme Livre De Pieces De Viole (1725),Ralph Rousseau Meulenbroeks
87,classical,Prelude (BWV 996) ,Paul Berget
93,classical,To Malvina,Richard Savino
44,classical,Ballo Del Gran Ducca (Giovanni Battista Buonamente),Altri Stromenti
2,classical,21 - Sonata No. 2 in G major Op. 50 - Largo ,Musica Franca
50,classical,If I were fire,Bezdin Ensemble
78,classical,Matteis: Ground After the Scotch Humour,Music of the Spheres
79,classical,Sonata No. 1 in E minor Op. 50 - Andante ,Musica Franca
3,classical,Sonata for Violoncello and Basso Continuo in Bb: Allegro - RV 43 (Vivaldi),Gonzalo X Ruiz
51,classical,Anon : Praeter rerum seriem,Jacob Heringman
45,classical,Chansons sans paroles (1989) op. 2 Pastorale,Gerard Satamian
92,classical,Sonata Seconda A Tre - Due Violini E Viola Da Brazzo,Richard Savino
86,classical,Capriccio in G minor Opus 116 No.3 (Johannes Brahms),Ivan Ilic
22,classical,Confitebor (Monteverdi),Altri Stromenti
36,classical,Sonata In C Major (Weiss) - Andante,Edward Martin and Paul Berget
37,classical,Come again: sweet love doth now invite (John Dowland),Edward Martin and William Bastian
23,classical,Wachet auf ruft uns die Stimme (BWV 140) - Chorus,American Bach Soloists
35,classical,Andreas Christi Sancte Andrea (Cristobal de Morales),Duo Chambure
21,classical,Sonata for Oboe and Bassoc Continuo in G major: Andante (Sammartini),Gonzalo X Ruiz
20,classical,Set a 5 in C Minor,Oberlin Consort of Viols
34,classical,Sonata I Sostenuto,Doc Rossi
30,classical,Gloria (Antonio Vivaldi),Bezdin Ensemble
24,classical,Fandango (Luigi Boccherini),Bezdin Ensemble
18,classical,22 - Sonata No. 2 in G major Op. 50 - Allemanda (allegro) ,Musica Franca
19,classical,Sonata BWV 1027 in G major: adagio,Ralph Rousseau Meulenbroeks
25,classical,"Froberger: Toccata III in C Major, 1656",SCD
31,classical,Lenten is come,Briddes Roune
27,classical,Kyrie - Allegro moderato,American Bach Soloists
33,classical,JS Bach: Partita in C minor (Sarabande),Ivan Ilic
32,classical,Sonata Prima Detta La Poggia (Marco Uccellini),Altri Stromenti
26,classical,Concerto in A Minor for Four Harpsichords BWV 1065: I Allegro,American Bach Soloists
17,classical,Intermezzo in E Major Opus 116 No.4 (Johannes Brahms),Ivan Ilic
16,classical,Chopin Prelude In G Minor Opus 28,Ivan Ilic
28,classical,Oboe Quartet in F (K370) - Allegro,American Baroque
14,classical,Sonata No. 2 BWV 1015 - 1. Dolce (J.S. Bach),Ingrid Matthews and Byron Schenkman
15,classical,Sonata No. 4 BWV 1017 - 1. Largo (J.S. Bach),Ingrid Matthews and Byron Schenkman
29,classical,La Savorgnana (Giovanni Legrenzi),Altri Stromenti
100,classical,Partia No 5 - Intrada (Biber),The Sarasa Ensemble
